county,n_enrolled,n_testtaker,n_ebrw_pass,n_math_pass,n_both,pct_ebrw_pass,pct_math_pass,pct_both_pass,population,med_income,latitude,longitude
Alameda,51117.0,17809.0,13624.0,10829.0,10335.0,0.7650064574091752,0.6080633387613005,0.5803245550002808,1661968.0,58155.0,37.72022591,-122.1643521
Amador,877.0,159.0,132.0,105.0,99.0,0.8301886792452831,0.660377358490566,0.6226415094339622,37709.333333333336,43032.333333333336,38.47216216,-120.5741948
Butte,7443.0,1653.0,1337.0,1036.0,985.0,0.808832425892317,0.6267392619479734,0.5958862673926195,220125.33333333334,35009.666666666664,39.59127291,-121.6728818
Calaveras,1307.0,270.0,233.0,170.0,170.0,0.8629629629629629,0.6296296296296297,0.6296296296296297,44504.666666666664,42176.0,38.25462698,-120.4657376
Colusa,980.0,222.0,83.0,23.0,20.0,0.3738738738738739,0.1036036036036036,0.09009009009009009,22322.333333333332,36243.666666666664,39.16798125,-122.2990667
Contra Costa,43001.0,16235.0,11369.0,8431.0,8152.0,0.700277178934401,0.5193101324299353,0.5021250384970742,1145109.3333333333,55670.0,37.98817952,-121.9371402
Del Norte,1037.0,216.0,148.0,108.0,90.0,0.6851851851851852,0.5,0.4166666666666667,27141.0,33977.333333333336,41.70557047,-123.8920045
El Dorado,6505.0,1812.0,1592.0,1350.0,1304.0,0.8785871964679912,0.7450331125827815,0.7196467991169978,189309.33333333334,50694.333333333336,38.76394197,-120.6060593
Fresno,42266.0,12207.0,7935.0,4835.0,4594.0,0.6500368640943721,0.3960842139755878,0.3763414434340952,1012446.0,32300.0,36.81276025,-119.6826941
Glenn,1455.0,270.0,168.0,77.0,71.0,0.6222222222222222,0.2851851851851852,0.26296296296296295,29155.666666666668,34467.333333333336,39.59028676,-122.0780968
Humboldt,3870.0,900.0,669.0,493.0,470.0,0.7433333333333333,0.5477777777777778,0.5222222222222223,134778.66666666666,33384.333333333336,40.86148517,-123.8585124
Imperial,9131.0,2325.0,1619.0,960.0,891.0,0.6963440860215053,0.4129032258064516,0.3832258064516129,188327.0,26583.333333333332,33.07729374,-114.7515356
Inyo,1617.0,264.0,131.0,91.0,82.0,0.4962121212121212,0.3446969696969697,0.3106060606060606,18505.666666666668,39680.666666666664,36.63350255,-118.2559592
Kern,41875.0,11379.0,6950.0,4419.0,4070.0,0.610774233236664,0.38834695491695226,0.35767642147816153,905993.0,32681.333333333332,35.37676773,-118.8073572
Kings,5756.0,1329.0,864.0,484.0,448.0,0.6501128668171557,0.36418359668924005,0.3370955605718585,153018.33333333334,33601.666666666664,36.01947119,-120.0181641
Lake,1903.0,501.0,349.0,197.0,185.0,0.6966067864271457,0.3932135728542914,0.36926147704590817,64573.666666666664,32497.0,39.06500481,-122.6570192
Lassen,839.0,183.0,109.0,56.0,53.0,0.5956284153005464,0.30601092896174864,0.2896174863387978,30001.0,44565.666666666664,40.43255922,-120.6495591
Los Angeles,339144.0,146016.0,90078.0,59300.0,55597.0,0.6169049967126891,0.40611987727372345,0.38075964277887353,10234421.333333334,37166.666666666664,34.0594833,-118.242048
Madera,6722.0,1326.0,815.0,402.0,375.0,0.6146304675716441,0.3031674208144796,0.2828054298642534,158073.33333333334,31953.0,37.09637123,-119.8904305
Marin,7806.0,2895.0,2555.0,2015.0,1985.0,0.8825561312607945,0.696027633851468,0.6856649395509499,261124.66666666666,71605.66666666667,38.03952573,-122.7299513
Mariposa,438.0,108.0,99.0,81.0,78.0,0.9166666666666666,0.75,0.7222222222222222,17891.333333333332,36337.666666666664,37.72289349,-119.9767358
Mendocino,2810.0,651.0,468.0,314.0,298.0,0.7188940092165899,0.4823348694316436,0.4577572964669739,88479.0,34360.666666666664,39.31034149,-123.6517776
Merced,13204.0,3585.0,2203.0,1144.0,1042.0,0.6145048814504881,0.31910739191073917,0.29065550906555093,280268.3333333333,32119.666666666668,37.1324242,-120.7167521
Modoc,259.0,48.0,12.0,9.0,9.0,0.25,0.1875,0.1875,9463.666666666666,31377.333333333332,41.71368177,-120.943072
Mono,1245.0,111.0,80.0,51.0,51.0,0.7207207207207207,0.4594594594594595,0.4594594594594595,13706.666666666666,37542.0,38.34709997,-119.3327269
Monterey,16923.0,5615.0,3325.0,1958.0,1815.0,0.5921638468388246,0.3487088156723063,0.3232413178984862,442579.3333333333,39074.666666666664,36.32470669,-121.2968358
Napa,4990.0,1665.0,1206.0,816.0,774.0,0.7243243243243244,0.4900900900900901,0.4648648648648649,140163.0,49905.333333333336,38.45938161,-122.3328556
Nevada,5537.0,558.0,452.0,383.0,372.0,0.8100358422939068,0.6863799283154122,0.6666666666666666,98206.33333333333,41464.0,39.29548859,-120.9008733
Orange,121563.0,48183.0,34325.0,26883.0,25570.0,0.7123881867048544,0.5579353713965507,0.5306850964032958,3204019.6666666665,44381.0,33.66073433,-117.9361373
Placer,17702.0,5877.0,5088.0,4162.0,4027.0,0.8657478305257784,0.7081844478475413,0.6852135443253361,389908.0,56532.333333333336,39.0316205,-120.8830665
Plumas,480.0,102.0,56.0,46.0,44.0,0.5490196078431373,0.45098039215686275,0.43137254901960786,18832.666666666668,38147.666666666664,40.00510655,-121.0077457
